"V1","V2","V3","V4"
3822.575068288,2217.65091430196,1645.25136453494,2284.78817223247
3242.5609938846,2446.93774195426,2104.60879897558,1957.40343271411
4211.05422832622,2468.64295047379,2021.94786168939,3028.9904267155
2166.6835793326,2360.60561659131,1446.67146544254,2286.17767913153
2829.44824715036,1171.77228954761,523.813228569792,2594.05100557859
2816.01684355292,1609.34578301,1431.23305769615,2546.60361462767
4137.11607675898,2284.7654341969,1397.09224689243,1206.57661166235
3276.05841289876,2180.00256201994,1682.18004929649,2317.17680175297
3621.06211318195,2195.53681229639,1701.98204931919,1227.346094417
2529.3245949723,2074.54620291174,534.316940021347,2016.25517310152
